mtype,tokens,type_tokens,labels,labels_str
SCAL,"['3', '4']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']","[17, 335]","['elementary-number-theory', 'divisibility']"
SCAL,"['2', 'a']","['unary', 'expr_atom', '__ANON_3', '__ANON_1']",[17],['elementary-number-theory']
SCAL,"['2', '8']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']","[17, 195]","['elementary-number-theory', 'prime-numbers']"
SCAL,"['2', '0', '1', '6']","['expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3']","[68, 17]","['number-theory', 'elementary-number-theory']"
SET,"['\\{', '2', '3', '1', '0', ',', '1', ',', '1', '\\}']","['explset', 'L_BRACE_LITERAL', 'set_enumeration', 'item', 'integer', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3', 'COMMA', 'item', '__ANON_3', 'COMMA', 'item', '__ANON_3', 'R_BRACE_LITERAL']",[17],['elementary-number-theory']
FUNC,"['f', '(', 'x', ')', '=', '2', '^', 'x']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'exp', 'expr_atom', '__ANON_3', 'CARET', '__ANON_1']","[17, 29]","['elementary-number-theory', 'definition']"
SCAL,"['\\frac', '{', '1', '}', '{', '8', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE']","[17, 46]","['elementary-number-theory', 'decimal-expansion']"
FUNC,"['f', '(', 'x', ')', '=', 'x', '/', 'd']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'mp', '__ANON_1', 'DIV', '__ANON_1']","[14, 17, 5]","['algebra-precalculus', 'elementary-number-theory', 'functions']"
SCAL,"['1', '2', '1']","['expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3']","[17, 163, 46]","['elementary-number-theory', 'recreational-mathematics', 'decimal-expansion']"
FUNC,"['f', '\\colon', '\\mathbb', 'N', '\\to', '\\mathbb', 'C']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'SET_FAT', '__ANON_0', 'TO', 'SET_FAT', '__ANON_0']",[17],['elementary-number-theory']
SET,"['(', 'a', ',', 'b', ')']","['interval', 'L_PAREN', '__ANON_1', 'COMMA', '__ANON_1', 'R_PAREN']","[17, 78]","['elementary-number-theory', 'arithmetic']"
SCAL,"['n', '^', '2']","['exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3']","[17, 40]","['elementary-number-theory', 'proof-verification']"
SCAL,"['3', '1']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']","[30, 17]","['combinatorics', 'elementary-number-theory']"
SET,\mathbb{Q},"['set_constant', 'SET_BASIC']","[14, 17, 40, 41]","['algebra-precalculus', 'elementary-number-theory', 'proof-verification', 'proof-writing']"
SCAL,"['3', '^', '{', 'n', '}', '+', '1']","['additive', 'exp', 'expr_atom', '__ANON_3', 'CARET', 'L_BRACE', '__ANON_1', 'R_BRACE', 'ADD', 'expr_atom', '__ANON_3']","[68, 17, 195]","['number-theory', 'elementary-number-theory', 'prime-numbers']"
SCAL,"['k', '-', '1']","['additive', '__ANON_1', 'SUB', 'expr_atom', '__ANON_3']","[17, 177]","['elementary-number-theory', 'modular-arithmetic']"
SCAL,"['\\dfrac', '{', 'n', '+', '7', '}', '{', '2', 'n', '+', '7', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', 'additive', '__ANON_1', 'ADD', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'additive', 'unary', 'expr_atom', '__ANON_3', '__ANON_1', 'ADD', 'expr_atom', '__ANON_3', 'R_BRACE']",[17],['elementary-number-theory']
SCAL,"['a', '^', 'b', '-', '1']","['additive', 'exp', '__ANON_1', 'CARET', '__ANON_1', 'SUB', 'expr_atom', '__ANON_3']","[17, 177]","['elementary-number-theory', 'modular-arithmetic']"
SCAL,"['2', '0', '1', '7']","['expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3']","[17, 40]","['elementary-number-theory', 'proof-verification']"
SCAL,"['5', '7', '6']","['expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3']","[68, 17]","['number-theory', 'elementary-number-theory']"
SCAL,"['3', '6']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']","[68, 17]","['number-theory', 'elementary-number-theory']"
SCAL,"['[', '2', 'x', ']']","['group', 'L_BRACKET', 'unary', 'expr_atom', '__ANON_3', '__ANON_1', 'R_BRACKET']","[17, 94]","['elementary-number-theory', 'solution-verification']"
SCAL,"['1', '3', '6']","['expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3']","[68, 17, 41, 56]","['number-theory', 'elementary-number-theory', 'proof-writing', 'proof-explanation']"
SCAL,"['1', '3', '6']","['expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3']","[68, 17, 41, 56]","['number-theory', 'elementary-number-theory', 'proof-writing', 'proof-explanation']"
SCAL,"['0', '0']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']","[17, 195, 177]","['elementary-number-theory', 'prime-numbers', 'modular-arithmetic']"
SCAL,"['(', '1', '+', 'x', ')', '^', 'r']","['exp', 'group', 'L_PAREN', 'additive', 'expr_atom', '__ANON_3', 'ADD', '__ANON_1', 'R_PAREN', 'CARET', '__ANON_1']","[68, 17]","['number-theory', 'elementary-number-theory']"
SCAL,"['9', '^', '9', 'n']","['unary', 'exp', 'expr_atom', '__ANON_3', 'CARET', 'expr_atom', '__ANON_3', '__ANON_1']",[17],['elementary-number-theory']
SET,"['[', 'x', ',', 'y', ']']","['interval', 'L_BRACKET', '__ANON_1', 'COMMA', '__ANON_1', 'R_BRACKET']","[14, 17, 123]","['algebra-precalculus', 'elementary-number-theory', 'polynomials']"
SCAL,"['n', '+', '1']","['additive', '__ANON_1', 'ADD', 'expr_atom', '__ANON_3']","[10, 17]","['real-analysis', 'elementary-number-theory']"
SCAL,"['n', '+', '1']","['additive', '__ANON_1', 'ADD', 'expr_atom', '__ANON_3']","[10, 17]","['real-analysis', 'elementary-number-theory']"
SCAL,"['1', '3']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']","[17, 46]","['elementary-number-theory', 'decimal-expansion']"
SCAL,"['2', '^', '2', '\\times', '3', '^', '4', '\\times', '5', '^', '6']","['mp', 'mp', 'exp', 'expr_atom', '__ANON_3', 'CARET', 'expr_atom', '__ANON_3', 'CMD_TIMES', 'exp', 'expr_atom', '__ANON_3', 'CARET', 'expr_atom', '__ANON_3', 'CMD_TIMES', 'exp', 'expr_atom', '__ANON_3', 'CARET', 'expr_atom', '__ANON_3']","[30, 17, 8]","['combinatorics', 'elementary-number-theory', 'discrete-mathematics']"
SCAL,"['3', '^', '3', '\\times', '5', '^', '5']","['mp', 'exp', 'expr_atom', '__ANON_3', 'CARET', 'expr_atom', '__ANON_3', 'CMD_TIMES', 'exp', 'expr_atom', '__ANON_3', 'CARET', 'expr_atom', '__ANON_3']","[30, 17, 8]","['combinatorics', 'elementary-number-theory', 'discrete-mathematics']"
SCAL,"['2', '3']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']","[17, 46]","['elementary-number-theory', 'decimal-expansion']"
SCAL,"['2', '^', '2', '\\times', '3', '\\times', '5']","['mp', 'exp', 'expr_atom', '__ANON_3', 'CARET', 'expr_atom', '__ANON_3', 'CMD_TIMES', 'mp', 'expr_atom', '__ANON_3', 'CMD_TIMES', 'expr_atom', '__ANON_3']","[30, 17, 8]","['combinatorics', 'elementary-number-theory', 'discrete-mathematics']"
SCAL,"['0', '1']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']",[17],['elementary-number-theory']
SCAL,"['(', '1', '/', '1', '1', ')']","['group', 'L_PAREN', 'mp', 'expr_atom', '__ANON_3', 'DIV', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', 'R_PAREN']","[17, 46]","['elementary-number-theory', 'decimal-expansion']"
SCAL,"['0', '1']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']",[17],['elementary-number-theory']
FUNC,"['f', ':', '\\mathbb{N}', '\\to', '\\mathbb{N}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', 'set_constant', 'SET_BASIC']",[17],['elementary-number-theory']
SCAL,"['3', '\\cdot', '2', '^', 'k']","['mp', 'expr_atom', '__ANON_3', 'CMD_CDOT', 'exp', 'expr_atom', '__ANON_3', 'CARET', '__ANON_1']","[68, 17]","['number-theory', 'elementary-number-theory']"
SCAL,"['7', '^', '{', '4', '}']","['exp', 'expr_atom', '__ANON_3', 'CARET', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE']",[17],['elementary-number-theory']
SCAL,"['2', '^', 'k']","['exp', 'expr_atom', '__ANON_3', 'CARET', '__ANON_1']","[68, 17]","['number-theory', 'elementary-number-theory']"
SCAL,"['2', '7']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']","[17, 46]","['elementary-number-theory', 'decimal-expansion']"
SCAL,"['(', '1', ')']","['group', 'L_PAREN', 'expr_atom', '__ANON_3', 'R_PAREN']","[68, 17, 123]","['number-theory', 'elementary-number-theory', 'polynomials']"
SCAL,"['(', 'a', '+', '\\frac', '{', '1', '}', '{', '2', '}', ')', '^', 'n', '+', '(', 'b', '+', '\\frac', '{', '1', '}', '{', '2', '}', ')', '^', 'n']","['additive', 'exp', 'group', 'L_PAREN', 'additive', '__ANON_1', 'ADD', 'expr_atom', 'CMD_FRAC', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'R_PAREN', 'CARET', '__ANON_1', 'ADD', 'exp', 'group', 'L_PAREN', 'additive', '__ANON_1', 'ADD', 'expr_atom', 'CMD_FRAC', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'R_PAREN', 'CARET', '__ANON_1']",[17],['elementary-number-theory']
SCAL,"['x', '^', '2', '-', 'y', '^', '2']","['additive', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'SUB', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3']",[17],['elementary-number-theory']
SCAL,"['1', '1', '3']","['expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3']",[17],['elementary-number-theory']
SCAL,"['\\dfrac', '{', 'n', '}', '{', '2', '}', '-', '1']","['additive', 'expr_atom', 'CMD_FRAC', 'L_BRACE', '__ANON_1', 'R_BRACE', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'SUB', 'expr_atom', '__ANON_3']",[17],['elementary-number-theory']
SCAL,"['3', '8', '^', '2', '-', '4', '\\cdot', '2', '4', '\\cdot', '(', 'b', '+', 'c', ')']","['additive', 'exp', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', 'CARET', 'expr_atom', '__ANON_3', 'SUB', 'mp', 'mp', 'expr_atom', '__ANON_3', 'CMD_CDOT', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', 'CMD_CDOT', 'group', 'L_PAREN', 'additive', '__ANON_1', 'ADD', '__ANON_1', 'R_PAREN']",[17],['elementary-number-theory']
SCAL,"['n', '^', '2', '+', '1', '1']","['additive', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'ADD', 'expr_atom', 'integer', '__ANON_3', '__ANON_3']","[17, 195, 177]","['elementary-number-theory', 'prime-numbers', 'modular-arithmetic']"
SCAL,"['n', '+', '4']","['additive', '__ANON_1', 'ADD', 'expr_atom', '__ANON_3']","[17, 195, 177]","['elementary-number-theory', 'prime-numbers', 'modular-arithmetic']"
SCAL,"['(', '5', 'm', '+', '1', ')', '^', '3', '-', '1']","['additive', 'exp', 'group', 'L_PAREN', 'additive', 'unary', 'expr_atom', '__ANON_3', '__ANON_1', 'ADD', 'expr_atom', '__ANON_3', 'R_PAREN', 'CARET', 'expr_atom', '__ANON_3', 'SUB', 'expr_atom', '__ANON_3']","[17, 195, 89]","['elementary-number-theory', 'prime-numbers', 'contest-math']"
FUNC,"['f', ':', '\\mathbb{N}', '\\to', '\\mathbb{N}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', 'set_constant', 'SET_BASIC']",[17],['elementary-number-theory']
FUNC,"['f', '(', 'x', ')', '=', 'x', '+', 'c']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'additive', '__ANON_1', 'ADD', '__ANON_1']",[17],['elementary-number-theory']
SCAL,"['n', '-', 'k', 'a']","['additive', '__ANON_1', 'SUB', 'unary', '__ANON_1', '__ANON_1']","[17, 177]","['elementary-number-theory', 'modular-arithmetic']"
SCAL,"['1', '1']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']","[17, 195, 335]","['elementary-number-theory', 'prime-numbers', 'divisibility']"
SCAL,"['(', '4', '9', '-', '2', 'k', ')']","['group', 'L_PAREN', 'additive', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', 'SUB', 'unary', 'expr_atom', '__ANON_3', '__ANON_1', 'R_PAREN']",[17],['elementary-number-theory']
SCAL,"['3', '\\cdot', '5', '\\cdot', '1', '7', '\\cdot', 'p']","['mp', 'expr_atom', '__ANON_3', 'CMD_CDOT', 'mp', 'expr_atom', '__ANON_3', 'CMD_CDOT', 'mp', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', 'CMD_CDOT', '__ANON_1']","[17, 195]","['elementary-number-theory', 'prime-numbers']"
SCAL,"['2', '^', 'a', '3', '^', 'b']","['unary', 'exp', 'expr_atom', '__ANON_3', 'CARET', '__ANON_1', 'exp', 'expr_atom', '__ANON_3', 'CARET', '__ANON_1']",[17],['elementary-number-theory']
SCAL,"['1', '/', 'p']","['mp', 'expr_atom', '__ANON_3', 'DIV', '__ANON_1']","[17, 195]","['elementary-number-theory', 'prime-numbers']"
FUNC,"['f', ':', '\\mathbb{Z}', '\\to', '\\mathbb{Z}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', 'set_constant', 'SET_BASIC']","[17, 123, 177]","['elementary-number-theory', 'polynomials', 'modular-arithmetic']"
SCAL,"['8', '5', '5', '4']","['expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3']","[17, 8, 177]","['elementary-number-theory', 'discrete-mathematics', 'modular-arithmetic']"
SCAL,"['p', '/', 'q']","['mp', '__ANON_1', 'DIV', '__ANON_1']",[17],['elementary-number-theory']
SCAL,"['1', '0', '^', 'n', '+', '3', '(', '4', '^', '{', 'n', '+', '2', '}', ')', '+', '5']","['additive', 'additive', 'exp', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', 'CARET', '__ANON_1', 'ADD', 'unary', 'expr_atom', '__ANON_3', 'group', 'L_PAREN', 'exp', 'expr_atom', '__ANON_3', 'CARET', 'L_BRACE', 'additive', '__ANON_1', 'ADD', 'expr_atom', '__ANON_3', 'R_BRACE', 'R_PAREN', 'ADD', 'expr_atom', '__ANON_3']",[17],['elementary-number-theory']
SCAL,"['1', '0', '0']","['expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3']","[14, 17, 195]","['algebra-precalculus', 'elementary-number-theory', 'prime-numbers']"
SCAL,"['a', 'x', '+', 'b', 'y']","['additive', 'unary', '__ANON_1', '__ANON_1', 'ADD', 'unary', '__ANON_1', '__ANON_1']","[68, 17]","['number-theory', 'elementary-number-theory']"
SCAL,"['1', '7', '3', '5', '7']","['expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3']","[68, 17]","['number-theory', 'elementary-number-theory']"
SCAL,"['\\frac', '{', 'n', '(', 'n', '+', '1', ')', '}', '{', '2', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', 'unary', '__ANON_1', 'group', 'L_PAREN', 'additive', '__ANON_1', 'ADD', 'expr_atom', '__ANON_3', 'R_PAREN', 'R_BRACE', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE']","[17, 94]","['elementary-number-theory', 'solution-verification']"
SCAL,"['n', '^', '2']","['exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3']","[17, 94]","['elementary-number-theory', 'solution-verification']"
SCAL,"['n', '(', 'n', '+', '1', ')']","['unary', '__ANON_1', 'group', 'L_PAREN', 'additive', '__ANON_1', 'ADD', 'expr_atom', '__ANON_3', 'R_PAREN']","[17, 94]","['elementary-number-theory', 'solution-verification']"
SCAL,"['\\frac', '{', 'n', '(', 'n', '+', '1', ')', '}', '{', '2', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', 'unary', '__ANON_1', 'group', 'L_PAREN', 'additive', '__ANON_1', 'ADD', 'expr_atom', '__ANON_3', 'R_PAREN', 'R_BRACE', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE']","[17, 94]","['elementary-number-theory', 'solution-verification']"
SCAL,"['2', '0', '1', '7']","['expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3']",[17],['elementary-number-theory']
SCAL,"['x', 'y', 'z']","['unary', '__ANON_1', '__ANON_1', '__ANON_1']","[68, 17]","['number-theory', 'elementary-number-theory']"
SCAL,"['a', 'b']","['unary', '__ANON_1', '__ANON_1']",[17],['elementary-number-theory']
SCAL,"['b', 'a']","['unary', '__ANON_1', '__ANON_1']",[17],['elementary-number-theory']
SCAL,"['1', '\\times', '1']","['mp', 'expr_atom', '__ANON_3', 'CMD_TIMES', 'expr_atom', '__ANON_3']",[17],['elementary-number-theory']
SCAL,"['1', '3', '3']","['expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3']","[17, 335]","['elementary-number-theory', 'divisibility']"
SCAL,"['5', '0', '0']","['expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3']","[17, 335]","['elementary-number-theory', 'divisibility']"
SET,\mathbb{N},"['set_constant', 'SET_BASIC']",[17],['elementary-number-theory']
SCAL,"['a', 'b', 'c']","['unary', '__ANON_1', '__ANON_1', '__ANON_1']","[17, 89]","['elementary-number-theory', 'contest-math']"
SCAL,"['1', '0', '^', '{', '(', '2', '^', 'k', ')', '}', '+', '1']","['additive', 'exp', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', 'CARET', 'L_BRACE', 'group', 'L_PAREN', 'exp', 'expr_atom', '__ANON_3', 'CARET', '__ANON_1', 'R_PAREN', 'R_BRACE', 'ADD', 'expr_atom', '__ANON_3']","[17, 195]","['elementary-number-theory', 'prime-numbers']"
SCAL,"['k', '^', '2', '-', '1']","['additive', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'SUB', 'expr_atom', '__ANON_3']","[17, 335]","['elementary-number-theory', 'divisibility']"
SCAL,"['p', '+', '1']","['additive', '__ANON_1', 'ADD', 'expr_atom', '__ANON_3']",[17],['elementary-number-theory']
SCAL,"['n', '^', '5', '+', 'n', '^', '4', '+', '1']","['additive', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'ADD', 'additive', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'ADD', 'expr_atom', '__ANON_3']","[17, 123, 195]","['elementary-number-theory', 'polynomials', 'prime-numbers']"
SCAL,"['3', '+', '8', '3', 'k']","['additive', 'expr_atom', '__ANON_3', 'ADD', 'unary', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_1']","[17, 177]","['elementary-number-theory', 'modular-arithmetic']"
FUNC,"['f', ':', 'A', '\\times', 'A', '\\to', '\\mathbb{N}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_expr', '__ANON_0', 'sets__OP_CART', '__ANON_0', 'TO', 'set_constant', 'SET_BASIC']","[30, 17]","['combinatorics', 'elementary-number-theory']"
SET,"['\\{', '1', ',', '2', '\\}']","['explset', 'L_BRACE_LITERAL', 'set_enumeration', 'item', '__ANON_3', 'COMMA', 'item', '__ANON_3', 'R_BRACE_LITERAL']",[17],['elementary-number-theory']
SCAL,"['6', '7', '5']","['expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3']","[17, 41]","['elementary-number-theory', 'proof-writing']"
SCAL,"['2', '7']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']","[14, 17, 168]","['algebra-precalculus', 'elementary-number-theory', 'inequality']"
SET,\mathbb{N},"['set_constant', 'SET_BASIC']","[17, 0]","['elementary-number-theory', 'elementary-set-theory']"
SCAL,"['9', '8', '7', '3', '1']","['expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3']",[17],['elementary-number-theory']
SET,"['S', '\\times', 'T']","['set_expr', '__ANON_0', 'sets__OP_CART', '__ANON_0']","[17, 15, 56]","['elementary-number-theory', 'notation', 'proof-explanation']"
SCAL,"['\\dfrac', '{', 'p', 'q', '}', '{', 'r', '}', '+', '\\dfrac', '{', 'q', 'r', '}', '{', 'p', '}', '+', '\\dfrac', '{', 'p', 'r', '}', '{', 'q', '}']","['additive', 'additive', 'expr_atom', 'CMD_FRAC', 'L_BRACE', 'unary', '__ANON_1', '__ANON_1', 'R_BRACE', 'L_BRACE', '__ANON_1', 'R_BRACE', 'ADD', 'expr_atom', 'CMD_FRAC', 'L_BRACE', 'unary', '__ANON_1', '__ANON_1', 'R_BRACE', 'L_BRACE', '__ANON_1', 'R_BRACE', 'ADD', 'expr_atom', 'CMD_FRAC', 'L_BRACE', 'unary', '__ANON_1', '__ANON_1', 'R_BRACE', 'L_BRACE', '__ANON_1', 'R_BRACE']","[14, 17]","['algebra-precalculus', 'elementary-number-theory']"
SCAL,"['\\frac', '{', '1', '3', '7', '}', '{', '7', '3', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3', 'R_BRACE', 'L_BRACE', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', 'R_BRACE']","[17, 40]","['elementary-number-theory', 'proof-verification']"
SCAL,"['a', 'r']","['unary', '__ANON_1', '__ANON_1']","[17, 40]","['elementary-number-theory', 'proof-verification']"
SCAL,"['a', 'r']","['unary', '__ANON_1', '__ANON_1']","[17, 40]","['elementary-number-theory', 'proof-verification']"
SET,"['C', '(', 'x', ')']","['__ANON_0', 'group', 'L_PAREN', '__ANON_1', 'R_PAREN']","[68, 17, 89]","['number-theory', 'elementary-number-theory', 'contest-math']"
SCAL,"['7', '6', '8']","['expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3']",[17],['elementary-number-theory']
FUNC,"['f', '(', 'x', ',', 'y', ')', '=', 'r']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', 'func_arg', '__ANON_1', 'COMMA', '__ANON_1', 'R_PAREN', 'EQUAL', '__ANON_1']",[17],['elementary-number-theory']
SCAL,"['a', 'c']","['unary', '__ANON_1', '__ANON_1']","[68, 17, 89]","['number-theory', 'elementary-number-theory', 'contest-math']"
SCAL,"['x', '/', 'y']","['mp', '__ANON_1', 'DIV', '__ANON_1']","[68, 17]","['number-theory', 'elementary-number-theory']"
SCAL,"['-', '6']","['unary', 'SUB', 'expr_atom', '__ANON_3']","[52, 68, 17, 177]","['sequences-and-series', 'number-theory', 'elementary-number-theory', 'modular-arithmetic']"
SCAL,"['2', '^', '{', '5', '7', '}', '+', '1']","['additive', 'exp', 'expr_atom', '__ANON_3', 'CARET', 'L_BRACE', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', 'R_BRACE', 'ADD', 'expr_atom', '__ANON_3']",[17],['elementary-number-theory']
SCAL,"['a', '^', '2', '+', '1']","['additive', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'ADD', 'expr_atom', '__ANON_3']","[17, 40, 41]","['elementary-number-theory', 'proof-verification', 'proof-writing']"
SCAL,"['a', '(', 'n', ')']","['unary', '__ANON_1', 'group', 'L_PAREN', '__ANON_1', 'R_PAREN']","[68, 17, 335, 163]","['number-theory', 'elementary-number-theory', 'divisibility', 'recreational-mathematics']"
SCAL,"['1', '0']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']","[68, 17, 335, 163]","['number-theory', 'elementary-number-theory', 'divisibility', 'recreational-mathematics']"
SCAL,"['a', '/', 'b']","['mp', '__ANON_1', 'DIV', '__ANON_1']","[58, 17]","['abstract-algebra', 'elementary-number-theory']"
SCAL,"['3', '1', '9', '0', '4', '9', '1']","['expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3']",[17],['elementary-number-theory']
SCAL,"['p', '^', '2']","['exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3']",[17],['elementary-number-theory']
SCAL,"['1', '0', '8', '9']","['expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3']","[14, 68, 17]","['algebra-precalculus', 'number-theory', 'elementary-number-theory']"
SCAL,"['(', 'n', '-', '1', ')', '(', 'n', '-', '2', ')', '(', 'n', '-', '3', ')']","['unary', 'group', 'L_PAREN', 'additive', '__ANON_1', 'SUB', 'expr_atom', '__ANON_3', 'R_PAREN', 'group', 'L_PAREN', 'additive', '__ANON_1', 'SUB', 'expr_atom', '__ANON_3', 'R_PAREN', 'group', 'L_PAREN', 'additive', '__ANON_1', 'SUB', 'expr_atom', '__ANON_3', 'R_PAREN']","[17, 11]","['elementary-number-theory', 'induction']"
SET,\mathbb{N},"['set_constant', 'SET_BASIC']","[68, 17]","['number-theory', 'elementary-number-theory']"
SCAL,"['3', '1', '5']","['expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3']",[17],['elementary-number-theory']
SCAL,"['(', '2', 'n', '-', '1', ')']","['group', 'L_PAREN', 'additive', 'unary', 'expr_atom', '__ANON_3', '__ANON_1', 'SUB', 'expr_atom', '__ANON_3', 'R_PAREN']",[17],['elementary-number-theory']
SCAL,"['1', '5', '7']","['expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3']",[17],['elementary-number-theory']
SCAL,"['a', '(', 'n', ')']","['unary', '__ANON_1', 'group', 'L_PAREN', '__ANON_1', 'R_PAREN']","[68, 17]","['number-theory', 'elementary-number-theory']"
SCAL,"['x', '^', 'p', '-', 'x']","['additive', 'exp', '__ANON_1', 'CARET', '__ANON_1', 'SUB', '__ANON_1']","[17, 56]","['elementary-number-theory', 'proof-explanation']"
SCAL,"['1', '3', '0', '0', '5']","['expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3']",[17],['elementary-number-theory']
SCAL,"['r', '-', 'b']","['additive', '__ANON_1', 'SUB', '__ANON_1']",[17],['elementary-number-theory']
SCAL,"['a', '^', '2', '+', 'b', '^', '2']","['additive', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'ADD', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3']","[10, 14, 17, 168]","['real-analysis', 'algebra-precalculus', 'elementary-number-theory', 'inequality']"
SCAL,"['(', 'k', '+', '1', ')', '-', 'p']","['additive', 'group', 'L_PAREN', 'additive', '__ANON_1', 'ADD', 'expr_atom', '__ANON_3', 'R_PAREN', 'SUB', '__ANON_1']","[17, 40]","['elementary-number-theory', 'proof-verification']"
